benchmark,model_variant,mode_label,mode,trajectory_alignment,n,fraction_all,pct_all,fraction_comparable,pct_comparable
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,followed,37,37/83,44.6,37/83,44.6
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,10,10/83,12.0,10/83,12.0
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,17,17/83,20.5,17/83,20.5
kramabench,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,14,14/83,16.9,14/83,16.9
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,did_not_follow,2,2/83,2.4,2/83,2.4
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,followed,51,51/83,61.4,51/83,61.4
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,19,19/83,22.9,19/83,22.9
kramabench,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,6,6/83,7.2,6/83,7.2
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,4,4/83,4.8,4/83,4.8
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,followed,35,35/83,42.2,35/83,42.2
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,11,11/83,13.3,11/83,13.3
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,24,24/83,28.9,24/83,28.9
kramabench,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,9,9/83,10.8,9/83,10.8
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,6,6/83,7.2,6/83,7.2
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,followed,40,40/83,48.2,40/83,48.2
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,12,12/83,14.5,12/83,14.5
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,19,19/83,22.9,19/83,22.9
kramabench,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,6,6/83,7.2,6/83,7.2
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,did_not_follow,1,1/83,1.2,1/83,1.2
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,followed,35,35/83,42.2,35/83,42.2
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,9,9/83,10.8,9/83,10.8
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,33,33/83,39.8,33/83,39.8
kramabench,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,5,5/83,6.0,5/83,6.0
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,followed,25,25/83,30.1,25/83,30.1
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,14,14/83,16.9,14/83,16.9
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,25,25/83,30.1,25/83,30.1
kramabench,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,14,14/83,16.9,14/83,16.9
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,6,6/135,4.4,6/133,4.5
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,followed,17,17/135,12.6,17/133,12.8
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,34,34/135,25.2,34/133,25.6
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,45,45/135,33.3,45/133,33.8
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,not_comparable,2,2/135,1.5,,
lakeqa,openai_gpt-5-mini,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,31,31/135,23.0,31/133,23.3
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,did_not_follow,5,5/135,3.7,5/135,3.7
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,followed,32,32/135,23.7,32/135,23.7
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,23,23/135,17.0,23/135,17.0
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,42,42/135,31.1,42/135,31.1
lakeqa,openai_gpt-5-mini,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,33,33/135,24.4,33/135,24.4
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,8,8/135,5.9,8/135,5.9
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,followed,30,30/135,22.2,30/135,22.2
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,29,29/135,21.5,29/135,21.5
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,36,36/135,26.7,36/135,26.7
lakeqa,openai_gpt-5-mini,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,32,32/135,23.7,32/135,23.7
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,did_not_follow,15,15/135,11.1,15/135,11.1
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,followed,10,10/135,7.4,10/135,7.4
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,missed_crucial_steps,60,60/135,44.4,60/135,44.4
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,mostly_followed,21,21/135,15.6,21/135,15.6
lakeqa,openai_gpt-5.4-nano,dii,search_i_results_i_pland_computei_k5_skills_off,partially_followed,29,29/135,21.5,29/135,21.5
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,did_not_follow,21,21/135,15.6,21/135,15.6
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,followed,8,8/135,5.9,8/135,5.9
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,missed_crucial_steps,58,58/135,43.0,58/135,43.0
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,mostly_followed,34,34/135,25.2,34/135,25.2
lakeqa,openai_gpt-5.4-nano,iii,search_i_results_i_plani_computei_k5_skills_off,partially_followed,14,14/135,10.4,14/135,10.4
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,did_not_follow,27,27/135,20.0,27/135,20.0
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,followed,8,8/135,5.9,8/135,5.9
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,missed_crucial_steps,63,63/135,46.7,63/135,46.7
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,mostly_followed,18,18/135,13.3,18/135,13.3
lakeqa,openai_gpt-5.4-nano,nii,search_i_results_i_plann_computei_k5_skills_off,partially_followed,19,19/135,14.1,19/135,14.1
